"PLAYER_NAME","SEASON_GOALS","SEASON_YELLOWS","SEASON_REDS","SEARCHES","SEARCH_RANK","PLAYER_EVENTS","PLAYER_EVENT_RANK"
asamoah,1,4,1,0,44,6,1
ronaldo,3,2,0,18,26,5,2
klose,5,0,0,7,37,5,2
deco,1,3,1,6,38,5,2
zidane,1,3,1,3,41,5,2
jaziri,1,3,1,0,44,5,2
costinha,0,4,1,0,44,5,2
rodriguez,3,1,0,10,34,4,3
cahill,2,2,0,4,40,4,3
crespo,3,1,0,3,41,4,3
podolski,3,1,0,0,44,4,3
maniche,2,2,0,0,44,4,3
muntari,1,3,0,0,44,4,3
zambrotta,1,3,0,0,44,4,3
andrè macanga,0,3,1,0,44,4,3
boulahrouz,0,3,1,0,44,4,3
v. bronckhorst,0,3,1,0,44,4,3
emerton,0,3,1,0,44,4,3
nadj,0,3,1,0,44,4,3
lucic,0,3,1,0,44,4,3
pope,0,2,1,68,10,3,4
henry,3,0,0,15,29,3,4
vieira,2,1,0,2,42,3,4
drogba,1,2,0,1,43,3,4
polak,0,2,1,1,43,3,4
simic,0,2,1,1,43,3,4
adriano,2,1,0,0,44,3,4
c. tenorio,2,1,0,0,44,3,4
gerrard,2,1,0,0,44,3,4
rosicky,2,1,0,0,44,3,4
schweinsteiger,2,1,0,0,44,3,4
frei,2,1,0,0,44,3,4
frings,1,2,0,0,44,3,4
allbäck,1,2,0,0,44,3,4
jaidi,1,2,0,0,44,3,4
kalinichenko,1,2,0,0,44,3,4
r. marquez,1,2,0,0,44,3,4
chunsoo,1,2,0,0,44,3,4
rusol,1,2,0,0,44,3,4
sviderskyy,0,3,0,0,44,3,4
sagnol,0,3,0,0,44,3,4
materazzi,2,0,1,0,44,3,4
sobolewski,0,2,1,0,44,3,4
l. perez,0,2,1,0,44,3,4
abalo,0,2,1,0,44,3,4
simunic,0,2,1,0,44,3,4
a. john,0,2,1,0,44,3,4
domoraud,0,2,1,0,44,3,4
terry,0,2,0,20,24,2,5
toni,2,0,0,19,25,2,5
saha,0,2,0,10,34,2,5
juan,0,2,0,8,36,2,5
tudor,0,2,0,6,38,2,5
borowski,0,2,0,6,38,2,5
heinze,0,2,0,4,40,2,5
whitley,0,2,0,3,41,2,5
petit,0,2,0,3,41,2,5
crouch,1,1,0,2,42,2,5
ljungberg,1,1,0,2,42,2,5
makelele,0,2,0,2,42,2,5
gilberto,1,1,0,1,43,2,5
senderos,1,1,0,1,43,2,5
f. torres,2,0,0,0,44,2,5
a. delgado,2,0,0,0,44,2,5
bosacki,2,0,0,0,44,2,5
o. bravo,2,0,0,0,44,2,5
wanchope p.,2,0,0,0,44,2,5
aloisi,1,1,0,0,44,2,5
saviola,1,1,0,0,44,2,5
cambiasso,1,1,0,0,44,2,5
junghwan,1,1,0,0,44,2,5
srna,1,1,0,0,44,2,5
ribery,1,1,0,0,44,2,5
grosso,1,1,0,0,44,2,5
f. fonseca,1,1,0,0,44,2,5
iaquinta,1,1,0,0,44,2,5
n. kovac,1,1,0,0,44,2,5
dindane,1,1,0,0,44,2,5
gomez r.,1,1,0,0,44,2,5
mnari,1,1,0,0,44,2,5
aljaber,1,1,0,0,44,2,5
nuno gomes,1,1,0,0,44,2,5
a. naelson,1,1,0,0,44,2,5
y.golmohammadi,1,1,0,0,44,2,5
pauleta,1,1,0,0,44,2,5
barnetta,1,1,0,0,44,2,5
larsson,1,1,0,0,44,2,5
robben,1,1,0,0,44,2,5
salifou m.,0,2,0,0,44,2,5
gavrancic,0,2,0,0,44,2,5
odonkor,0,2,0,0,44,2,5
r. kovac,0,2,0,0,44,2,5
bouazizi,0,2,0,0,44,2,5
metzelder,0,2,0,0,44,2,5
m.madanchi,0,2,0,0,44,2,5
koroman,0,2,0,0,44,2,5
camoranesi,0,2,0,0,44,2,5
boruc,0,2,0,0,44,2,5
g. torrado,0,2,0,0,44,2,5
miyamoto,0,2,0,0,44,2,5
locó,0,2,0,0,44,2,5
abidal,0,2,0,0,44,2,5
essien,0,2,0,0,44,2,5
n.valente,0,2,0,0,44,2,5
lokvenc,0,2,0,0,44,2,5
marin l.,0,2,0,0,44,2,5
j.nekounam,0,2,0,0,44,2,5
hargreaves,0,2,0,0,44,2,5
cafu,0,2,0,0,44,2,5
romao,0,2,0,0,44,2,5
mascherano,0,2,0,0,44,2,5
v. bommel,0,2,0,0,44,2,5
u. de la cruz,0,2,0,0,44,2,5
zé kalanga,0,2,0,0,44,2,5
gattuso,0,2,0,0,44,2,5
paredes,0,2,0,0,44,2,5
s. appiah,0,2,0,0,44,2,5
a. valencia,0,2,0,0,44,2,5
sorin,0,2,0,0,44,2,5
r.carvalho,0,2,0,0,44,2,5
puyol,0,2,0,0,44,2,5
grella,0,2,0,0,44,2,5
de rossi,0,1,1,0,44,2,5
ho,0,1,0,398,2,1,6
alex,0,1,0,76,8,1,6
jones,0,1,0,71,9,1,6
emerson,0,1,0,42,14,1,6
fred,1,0,0,34,16,1,6
shevchenko,1,0,0,33,17,1,6
bak,0,1,0,31,19,1,6
robinson,0,1,0,29,20,1,6
lewis,0,1,0,26,21,1,6
moore,0,1,0,18,26,1,6
rooney,0,0,1,18,26,1,6
friedrich,0,1,0,17,27,1,6
gray,0,1,0,16,28,1,6
omar,0,1,0,13,31,1,6
delgado,0,1,0,10,34,1,6
beckham,1,0,0,8,36,1,6
cabanas,0,1,0,8,36,1,6
reyna,0,1,0,7,37,1,6
ayala,1,0,0,5,39,1,6
miguel,0,1,0,5,39,1,6
cruz,0,1,0,5,39,1,6
robinho,0,1,0,5,39,1,6
dempsey,1,0,0,4,40,1,6
figo,0,1,0,4,40,1,6
gonzalez,0,1,0,4,40,1,6
habib,0,1,0,4,40,1,6
ricardo,0,1,0,4,40,1,6
jamba,0,1,0,4,40,1,6
alonso,1,0,0,3,41,1,6
vogel,0,1,0,3,41,1,6
reyes,0,1,0,3,41,1,6
sancho,0,1,0,3,41,1,6
koller,1,0,0,2,42,1,6
totti,0,1,0,2,42,1,6
jonson,0,1,0,2,42,1,6
juanito,1,0,0,1,43,1,6
pirlo,1,0,0,1,43,1,6
messi,1,0,0,1,43,1,6
raul,1,0,0,1,43,1,6
c.ronaldo,0,1,0,1,43,1,6
theobald,0,1,0,1,43,1,6
zigic,1,0,0,0,44,1,6
v. persie,1,0,0,0,44,1,6
david villa,1,0,0,0,44,1,6
tamada,1,0,0,0,44,1,6
juninho,1,0,0,0,44,1,6
kaká,1,0,0,0,44,1,6
kewell,1,0,0,0,44,1,6
draman,1,0,0,0,44,1,6
i. kaviedes,1,0,0,0,44,1,6
yasser,1,0,0,0,44,1,6
sasa ilic,1,0,0,0,44,1,6
v. nistelrooy,1,0,0,0,44,1,6
del piero,1,0,0,0,44,1,6
gilardino,1,0,0,0,44,1,6
kone b.,1,0,0,0,44,1,6
inzaghi,1,0,0,0,44,1,6
j cole,1,0,0,0,44,1,6
neuville,1,0,0,0,44,1,6
nakamura,1,0,0,0,44,1,6
cuevas,1,0,0,0,44,1,6
abou tarika,1,0,0,0,44,1,6
lahm,1,0,0,0,44,1,6
zé roberto,1,0,0,0,44,1,6
c. kader-toure,1,0,0,0,44,1,6
tevez,1,0,0,0,44,1,6
rebrov,1,0,0,0,44,1,6
jisung,1,0,0,0,44,1,6
s.bakhtiarizadeh,1,0,0,0,44,1,6
cañiza,0,1,0,0,44,1,6
paintsil,0,1,0,0,44,1,6
shelayev,0,1,0,0,44,1,6
alexandersson,0,1,0,0,44,1,6
j.a. castro,0,1,0,0,44,1,6
f.zandi,0,1,0,0,44,1,6
duljaj,0,1,0,0,44,1,6
spycher,0,1,0,0,44,1,6
